index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
f1932e49bdc69f23d3ab79cdb6fdef5f,2026-02-03T08:35:55Z,'Nebeltage',wien.orf.at,de,0.8,Nebel dämpft Wachstum bei Gurken,Das Wetter im Jänner hat Auswirkungen auf die Wiener Landwirtschaft: Durch die geringen Sonnenstunden wird das Wachstum der Gurken gedämpft. Für den Ackerbau haben dagegen die niedrigen Temperaturen Vorteile.,https://wien.orf.at/stories/3340388/,https://ibs.orf.at/wie?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2026%2F06%2F01%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F2919915_master_1128701_gurk.jpg%3Fs%3Db9f592f8f45bf15ef11ecc0480f8a9e885a5e096,http://web.archive.org/web/20260204031339/https://wien.orf.at/stories/3340388/,"Rund 75 Prozent der österreichischen Gurken kamen im Vorjahr aus Wien. Die vielen Nebeltage im Jänner wirken sich aber auf den Anbau im Gewächshaus aus, erklärte Gemüsebauer Martin Flicker in Wien he… [+1861 chars]",,Nebel dämpft Wachstum bei Gurken. Das Wetter im Jänner hat Auswirkungen auf die Wiener Landwirtschaft: Durch die geringen Sonnenstunden wird das Wachstum der Gurken gedämpft. Für den Ackerbau haben dagegen die niedrigen Temperaturen Vorteile.,"Fog dampens the growth of cucumbers. The weather in January has an impact on Viennese agriculture: the few hours of sunshine slow down the growth of cucumbers. However, the low temperatures have advantages for agriculture.",Caligo incrementum cucumerum madefacit. Tempestas mense Ianuario in Viennensem agriculturam impulsum habet: paucae horae soles tardius incrementum cucumeres habent. Sed frigiditas temperaturas habent utilitates ad agriculturam.,2026-02-05 14:13:22+00:00
73b3751ef84e33072baef608feaa91e3,2026-02-02T05:48:52Z,'Nebel Wetter',www.zeit.de,de,0.8,"Wetter-Aussichten für Hessen: Regen, Glätte und Nebel am Warnstreiktag","Hier finden Sie Informationen zu dem Thema „Wetter-Aussichten für Hessen“. Lesen Sie jetzt „Regen, Glätte und Nebel am Warnstreiktag“.",https://www.zeit.de/news/2026-02/02/regen-glaette-und-nebel-am-warnstreiktag,https://img.zeit.de/news/2026-02/02/regen-glaette-und-nebel-am-warnstreiktag-image-group/wide__1300x731,http://web.archive.org/web/20260203092838/https://www.zeit.de/news/2026-02/02/regen-glaette-und-nebel-am-warnstreiktag,Ein Tiefdruckgebiet sorgt in Hessen am Morgen für feuchte und kalte Luft. Dies kann laut dem Deutschen Wetterdienst (DWD) am Tag des Warnstreiks im Öffentlichen Nahverkehr zu glatten Straßen führen. … [+781 chars],,"Wetter-Aussichten für Hessen: Regen, Glätte und Nebel am Warnstreiktag. Hier finden Sie Informationen zu dem Thema „Wetter-Aussichten für Hessen“. Lesen Sie jetzt „Regen, Glätte und Nebel am Warnstreiktag“.","Weather outlook for Hesse: rain, slippery conditions and fog on the warning strike day. Here you will find information on the topic “Weather prospects for Hesse”. Read “Rain, slippery conditions and fog on the warning strike day” now.","Tempestas prospectans Hassiae: pluviae, lubricae conditiones et nebule monente feriant diem. Hic informationes invenies in argumento ""Prospectus Tempestatis Hassiae"". Lege ""Pluvia, lubricas conditiones et nebulam monenti percutiens diem"" nunc.",2026-02-06 04:25:42+00:00
c590880620b332da41dc1fc82c120a59,2026-02-02T04:55:56Z,'Nebel Vorhersage',www.stern.de,de,0.8,Wetter: Wo zum Wochenstart im Südwesten Nebel und Glatteis drohen,"Stuttgart (lsw) - Zum Start in die neue Woche ist es im Südwesten ratsam, draußen einen Regenschirm dabei zu haben. Der Vorhersage des Deutschen",https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/wetter--wo-zum-wochenstart-im-suedwesten-nebel-und-glatteis-drohen-37097294.html,https://image.stern.de/37097296/t/n2/v1/w1440/r1.7778/-/02--ovnby3jrm4v3axs2048jpeg---e6374a881b78c660.jpg,http://web.archive.org/web/20260203171920/https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/wetter--wo-zum-wochenstart-im-suedwesten-nebel-und-glatteis-drohen-37097294.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Nebel, Glätte und Regen: Der Wochenstart im Südwesten bringt wechselhaftes Wetter. Wo Autofahrer besonders vorsichtig sein sollten.
Zum Start in… [+1480 chars]",,"Wetter: Wo zum Wochenstart im Südwesten Nebel und Glatteis drohen. Stuttgart (lsw) - Zum Start in die neue Woche ist es im Südwesten ratsam, draußen einen Regenschirm dabei zu haben. Der Vorhersage des Deutschen",Weather: Where fog and black ice threaten in the southwest at the start of the week. Stuttgart (lsw) - At the start of the new week in the southwest it is advisable to have an umbrella with you outside. The German's prediction,Tempestas: Ubi nebula et glacies nigra in brumali occasu minantur sub initium hebdomadis. Stuttgart (lsw) - Ad initium novae hebdomadis in occidente meridiem expedit umbellam apud te foris habere. Praedictio germanica,2026-02-06 19:52:44+00:00
ad6b8ea1624634a674de5f17cd6e5a65,2026-02-02T05:48:52Z,'Nebel Wetter',www.stern.de,de,0.8,"Wetter-Aussichten für Hessen: Regen, Glätte und Nebel am Warnstreiktag",In Hessen kann es heute glatt und nebelig auf den Straßen werden. Teilweise ist auch mit Neuschnee zu rechnen. Erst später am Tag sollen die Temperaturen steigen.,https://www.stern.de/gesellschaft/regional/hessen/wetter-aussichten-fuer-hessen--regen--glaette-und-nebel-am-warnstreiktag-37097412.html,https://image.stern.de/37097414/t/CY/v1/w1440/r1.7778/-/02--wur3svwds6v3axs2048jpeg---530f2c7f20d25413.jpg,http://web.archive.org/web/20260203123056/https://www.stern.de/gesellschaft/regional/hessen/wetter-aussichten-fuer-hessen--regen--glaette-und-nebel-am-warnstreiktag-37097412.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
In Hessen kann es heute glatt und nebelig auf den Straßen werden. Teilweise ist auch mit Neuschnee zu rechnen. Erst später am Tag sollen die Temp… [+959 chars]",,"Wetter-Aussichten für Hessen: Regen, Glätte und Nebel am Warnstreiktag. In Hessen kann es heute glatt und nebelig auf den Straßen werden. Teilweise ist auch mit Neuschnee zu rechnen. Erst später am Tag sollen die Temperaturen steigen.","Weather outlook for Hesse: rain, slippery conditions and fog on the warning strike day. It can be slippery and foggy on the roads in Hesse today. Fresh snow can also be expected in some areas. Temperatures are only expected to rise later in the day.","Tempestas prospectans Hassiae: pluviae, lubricae conditiones et nebule monente feriant diem. Potest esse lubricus et nebulosus in viis Hassiae hodie. Etiam in nonnullis locis nix nova expectari potest. Temperaturae solum exspectantur serius in diem surgere.",2026-02-06 19:52:44+00:00
997a86340c2160c727159a0f9fff2b5d,2026-02-05T05:33:43Z,'Nebel Wetter',www.stern.de,de,0.8,Glätte und Nebel: Regnerische Aussichten für Rheinland-Pfalz und Saarland,Mainz (lrs) - Glatte Straßen und Regen halten Rheinland-Pfalz und das Saarland in den kommenden Tagen im Griff. Wie der Deutsche Wetterdienst (DWD),https://www.stern.de/gesellschaft/regional/rheinland-pfalz-saarland/glaette-und-nebel--regnerische-aussichten-fuer-rheinland-pfalz-und-saarland-37108398.html,https://image.stern.de/37108400/t/ME/v1/w1440/r1.7778/-/05--fq55mia6qyv3axs2048jpeg---4697f93d2c8b5894.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
In Rheinland-Pfalz und dem Saarland bleibt es in den kommenden Tagen eher ungemütlich. Zum Wochenende könnte das Wetter allerdings aufklaren.
Gl… [+848 chars]",,Glätte und Nebel: Regnerische Aussichten für Rheinland-Pfalz und Saarland. Mainz (lrs) - Glatte Straßen und Regen halten Rheinland-Pfalz und das Saarland in den kommenden Tagen im Griff. Wie der Deutsche Wetterdienst (DWD),Slippery and fog: Rainy prospects for Rhineland-Palatinate and Saarland. Mainz (lrs) - Slippery roads and rain will keep Rhineland-Palatinate and Saarland under control in the coming days. Like the German Weather Service (DWD),Lubrica et nebula: spes pluviae Rheno-Palatinatus et Saarland. Mogontiacum - Viae lubricae et pluviae Rheno-Palatinatus et Saarland sub dominio in diebus venientibus servabunt. Sicut Germanica Tempestas Service (DWD),2026-02-06 19:52:44+00:00
e6b6d001fc118d32329af5f8ea6f9309,2026-02-01T10:58:37Z,'Nebel Verletzte',www.bild.de,de,0.8,Dichter Nebel in Kalifornien - Massencrash mit 150 Trucks und Autos,"Dichter Nebel führt zu Massencrash auf Highway 99. Zehn Verletzte, immense Schäden.",https://www.bild.de/news/ausland/schwerer-unfall-in-kalifornien-nebel-massencrash-mit-150-fahrzeugen-697f1903fa531953d5217c7e,"https://images.bild.de/697f1903fa531953d5217c7e/07b0428c7c7c1bf02a4c2ed7c0feca8e,e6c1f70?w=1280",http://web.archive.org/web/20260202012952/https://www.bild.de/news/ausland/schwerer-unfall-in-kalifornien-nebel-massencrash-mit-150-fahrzeugen-697f1903fa531953d5217c7e,TTS-Player überspringenArtikel weiterlesenLos Angeles (USA) Schweres Nebel-Unglück auf dem Golden State Highway: Dutzende Autos und Trucks haben sich bei einem Massencrash in Kalifornien ineinander v… [+2115 chars],,"Dichter Nebel in Kalifornien - Massencrash mit 150 Trucks und Autos. Dichter Nebel führt zu Massencrash auf Highway 99. Zehn Verletzte, immense Schäden.","Thick fog in California - mass crash involving 150 trucks and cars. Thick fog leads to mass crash on Highway 99. Ten injured, immense damage.","Caligo densissima in California - massarum fragor 150 trucks et carros involvens. Caligo densa ingentem fragorem in via ducit 99. Decem laesa, immensa damna.",2026-02-09 08:05:29+00:00
ddbd5551871f979d4a4e2b0777673cac,2026-02-07T11:35:55Z,'Nebel Wetter',www.stern.de,de,0.8,Wetter: Milde Luft und grauer Himmel,"Viele Wolken, nachts Nebel und Glätte, am Dienstag Regen. Trotz vergleichsweise milder Temperaturen bleibt es in den Bundesländern in den nächsten Tagen ungemütlich.",https://www.stern.de/gesellschaft/regional/rheinland-pfalz-saarland/wetter--milde-luft-und-grauer-himmel-37115888.html,https://image.stern.de/37115890/t/-r/v1/w1440/r1.7778/-/07--x4bcdu5quxv4axs2048jpeg---44e60e844205182b.jpg,http://web.archive.org/web/20260207115140/https://www.stern.de/gesellschaft/regional/rheinland-pfalz-saarland/wetter--milde-luft-und-grauer-himmel-37115888.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Viele Wolken, nachts Nebel und Glätte, am Dienstag Regen. Trotz vergleichsweise milder Temperaturen bleibt es in den Bundesländern in den nächste… [+1326 chars]",,"Wetter: Milde Luft und grauer Himmel. Viele Wolken, nachts Nebel und Glätte, am Dienstag Regen. Trotz vergleichsweise milder Temperaturen bleibt es in den Bundesländern in den nächsten Tagen ungemütlich.","Weather: Mild air and gray skies. Lots of clouds, fog and slippery conditions at night, rain on Tuesday. Despite comparatively mild temperatures, it will remain uncomfortable in the federal states over the next few days.","Tempestas: mitis aer et senium. Sortes nubium, nebulae et lubricae conditiones noctis, pluviae Martis. Quamvis temperaturas comparative mites, incommoda in civitatibus foederati paucis diebus manebit.",2026-02-10 20:07:30+00:00
08710c2b227619430c4866b7bfc47883,2026-02-07T11:40:48Z,'Nebel Wetter',www.stern.de,de,0.8,"Blick auf das Wochenend-Wetter: Schnell die Sonne genießen - wo sie lockt, wo sie bleibt","Erst Sonne satt, aber Nebel und Wolken warten schon: Das Wetter zeigt sich am Wochenende abwechslungsreich. Wo die Sonnenstrahlen trotzdem zu finden sind.",https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/blick-auf-das-wochenend-wetter--schnell-die-sonne-geniessen---wo-sie-lockt--wo-sie-bleibt-37115316.html,https://image.stern.de/37115898/t/yw/v1/w1440/r1.7778/-/07--63ery7isa5v8axs2048jpeg---b894dd0ffcfc90eb.jpg,http://web.archive.org/web/20260208184701/https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/blick-auf-das-wochenend-wetter--schnell-die-sonne-geniessen---wo-sie-lockt--wo-sie-bleibt-37115316.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Erst Sonne satt, aber Nebel und Wolken warten schon: Das Wetter zeigt sich am Wochenende abwechslungsreich. Wo die Sonnenstrahlen trotzdem zu fin… [+1742 chars]",,"Blick auf das Wochenend-Wetter: Schnell die Sonne genießen - wo sie lockt, wo sie bleibt. Erst Sonne satt, aber Nebel und Wolken warten schon: Das Wetter zeigt sich am Wochenende abwechslungsreich. Wo die Sonnenstrahlen trotzdem zu finden sind.","A look at the weekend weather: Enjoy the sun quickly - where it beckons, where it stays. First we've had our fill of sun, but fog and clouds are already waiting: the weather will be varied at the weekend. Where the sun's rays can still be found.","Vide tempestatem volutpat: Sol cito fruere - ubi poscit, ubi manet. Primum solem nostrum habuimus, sed nebulae et nubes iam exspectamus: tempestas variabitur in volutpat. Ubi radii solis adhuc inveniri possunt.",2026-02-10 20:07:30+00:00
f72213aadf02e39fbe2bdae50323d156,2026-02-07T14:59:55Z,'Nebel Wetter',www.stern.de,de,0.8,Wetter: Nach Sonne wieder eher grauer Himmel in den nächsten Tagen,"Erst freundlich - dann vielerorts Wolken, nachts Nebel und stellenweise Glätte: In den nächsten Tagen wird es eher grau in Rheinland-Pfalz und im Saarland.",https://www.stern.de/gesellschaft/regional/rheinland-pfalz-saarland/wetter--nach-sonne-wieder-eher-grauer-himmel-in-den-naechsten-tagen-37115888.html,https://image.stern.de/37116228/t/c8/v1/w1440/r1.7778/-/07--liys4iwsndv9axs2048jpeg---92a4d484c5974280.jpg,http://web.archive.org/web/20260208075943/https://www.stern.de/gesellschaft/regional/rheinland-pfalz-saarland/wetter--nach-sonne-wieder-eher-grauer-himmel-in-den-naechsten-tagen-37115888.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Erst freundlich - dann vielerorts Wolken, nachts Nebel und stellenweise Glätte: In den nächsten Tagen wird es eher grau in Rheinland-Pfalz und im… [+1284 chars]",,"Wetter: Nach Sonne wieder eher grauer Himmel in den nächsten Tagen. Erst freundlich - dann vielerorts Wolken, nachts Nebel und stellenweise Glätte: In den nächsten Tagen wird es eher grau in Rheinland-Pfalz und im Saarland.","Weather: After sunshine, more gray skies again in the next few days. First friendly - then clouds in many places, fog at night and slippery places in places: In the next few days it will be rather gray in Rhineland-Palatinate and Saarland.","Tempestas: Post soles, dies magis cinerei iterum in paucis diebus. Primo amica, deinde in multis locis nubes, nocte nebula et lubrica in locis locis: Paucis diebus canescere erit in Rheno-Palatinate et Saarland.",2026-02-10 20:07:30+00:00
a3b48c1dda38a9546029703b715aa8d1,2026-02-08T06:12:50Z,'Nebel Wetter',www.stern.de,de,0.8,Deutschland-Wetter: Glättegefahr im Nordosten bleibt - Neblig-trüber Sonntag,"Mit viel Nebel und Wolken wird der Sonntag vielerorts eher trist. Im Nordosten und Osten kann es weiter stellenweise glatt sein. Im Westen, Südwesten und am Alpenrand kommt auch mal die Sonne durch.",https://www.stern.de/panorama/deutschland-wetter--glaettegefahr-im-nordosten-bleibt---neblig-trueber-sonntag-37116890.html,https://image.stern.de/37116892/t/0a/v1/w1440/r1.7778/-/08--gztacm7jcov3axs2048jpeg---7398efbbb0f28d0d.jpg,http://web.archive.org/web/20260209100737/https://www.stern.de/panorama/deutschland-wetter--glaettegefahr-im-nordosten-bleibt---neblig-trueber-sonntag-37116890.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Mit viel Nebel und Wolken wird der Sonntag vielerorts eher trist. Im Nordosten und Osten kann es weiter stellenweise glatt sein. Im Westen, Südwe… [+1660 chars]",,"Deutschland-Wetter: Glättegefahr im Nordosten bleibt - Neblig-trüber Sonntag. Mit viel Nebel und Wolken wird der Sonntag vielerorts eher trist. Im Nordosten und Osten kann es weiter stellenweise glatt sein. Im Westen, Südwesten und am Alpenrand kommt auch mal die Sonne durch.","Germany weather: Risk of ice in the northeast remains - foggy and cloudy Sunday. With a lot of fog and clouds, Sunday will be rather dreary in many places. In the northeast and east it may continue to be slippery in places. In the west, southwest and on the edge of the Alps the sun also comes through.","Germania tempestas: Periculum glaciei in septentriones manet - Solis nebulosus et nubilus. Cum multa nebula et nubes, Solis potius multis locis amarus erit. In septentriones et orientem solem in locis lubricum esse. ad occidentem hibernum et in ora Alpium sol quoque transit.",2026-02-10 20:07:30+00:00
